"filename", "language", "vue", "SCSS", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "JavaScript", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\.prettierrc.json", "JSON", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3, -6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\base.css", "CSS", 0, 0, 0, 0, 0, 0, -203, 0, 0, 0, 0, -9, -13, -225
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -66, 0, 0, 0, -7, -15, -88
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\index.html", "HTML", 0, 0, 0, 0, 0, -130, 0, 0, 0, 0, 0, 0, -16, -146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useApprovalDetail.ts.html", "HTML", 0, 0, 0, 0, 0, -920, 0, 0, 0, 0, 0, 0, -14, -934
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useApprovalList.ts.html", "HTML", 0, 0, 0, 0, 0, -556, 0, 0, 0, 0, 0, 0, -15, -571
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\composables\useFileUpload.ts.html", "HTML", 0, 0, 0, 0, 0, -1046, 0, 0, 0, 0, 0, 0, -14, -1060
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\coverage-report-P6-P7-P8.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -93, 0, 0, 0, -26, -119
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\index.html", "HTML", 0, 0, 0, 0, 0, -130, 0, 0, 0, 0, 0, 0, -16, -146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 0, 0, 0, -203, 0, 0, 0, 0, -9, -13, -225
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -66, 0, 0, 0, -7, -15, -88
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\index.html", "HTML", 0, 0, 0, 0, 0, -130, 0, 0, 0, 0, 0, 0, -16, -146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useApprovalDetail.ts.html", "HTML", 0, 0, 0, 0, 0, -920, 0, 0, 0, 0, 0, 0, -14, -934
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useApprovalList.ts.html", "HTML", 0, 0, 0, 0, 0, -556, 0, 0, 0, 0, 0, 0, -15, -571
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\composables\useFileUpload.ts.html", "HTML", 0, 0, 0, 0, 0, -1046, 0, 0, 0, 0, 0, 0, -14, -1060
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 0, -130, 0, 0, 0, 0, 0, 0, -16, -146
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\prettify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -2, 0, -3
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\sorter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -171, 0, 0, 0, -21, -19, -211
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\approval.ts.html", "HTML", 0, 0, 0, 0, 0, -362, 0, 0, 0, 0, 0, 0, -14, -376
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\file.ts.html", "HTML", 0, 0, 0, 0, 0, -368, 0, 0, 0, 0, 0, 0, -14, -382
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\coverage\lcov-report\stores\index.html", "HTML", 0, 0, 0, 0, 0, -116, 0, 0, 0, 0, 0, 0, -15, -131
