"filename", "language", "vue", "SCSS", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\App.vue", "vue", 17, 0, 0, 0, 0, 0, 4, 21
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\application.ts", "TypeScript", 0, 0, 35, 0, 0, 5, 3, 43
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\approval.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 4, 29
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\auditLog.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 2, 9
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\auth.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 2, 18
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\channelManage.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 9, 39
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 2, 13
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\notification.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 3, 26
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\regionManage.ts", "TypeScript", 0, 0, 35, 0, 0, 3, 11, 49
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\systemConfig.ts", "TypeScript", 0, 0, 5, 0, 0, 9, 4, 18
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\transWebService.ts", "TypeScript", 0, 0, 379, 0, 0, 114, 70, 563
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\uiConfig.ts", "TypeScript", 0, 0, 62, 0, 0, 2, 33, 97
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\user.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 5, 53
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\global.scss", "SCSS", 0, 16, 0, 0, 0, 0, 4, 20
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\index.scss", "SCSS", 0, 14, 0, 0, 0, 0, 3, 17
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\mixins.scss", "SCSS", 0, 16, 0, 0, 0, 0, 4, 20
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\styles\variables.scss", "SCSS", 0, 7, 0, 0, 0, 0, 1, 8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\auto-imports.d.ts", "TypeScript", 0, 0, 82, 0, 0, 8, 1, 91
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components.d.ts", "TypeScript", 0, 0, 66, 0, 0, 8, 3, 77
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\HelloWorld.vue", "vue", 35, 0, 0, 0, 0, 0, 7, 42
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CitySelector.scss", "SCSS", 0, 22, 0, 0, 0, 0, 6, 28
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CitySelector.vue", "vue", 103, 0, 0, 0, 0, 0, 17, 120
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\DepartmentSelector.scss", "SCSS", 0, 22, 0, 0, 0, 0, 6, 28
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\DepartmentSelector.vue", "vue", 120, 0, 0, 0, 0, 0, 16, 136
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\FileList.vue", "vue", 177, 0, 0, 0, 0, 4, 24, 205
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\TransFileTable.vue", "vue", 527, 0, 0, 0, 0, 24, 52, 603
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\TransferProgress.scss", "SCSS", 0, 68, 0, 0, 0, 0, 13, 81
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\TransferProgress.vue", "vue", 163, 0, 0, 0, 0, 0, 31, 194
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\__tests__\DepartmentSelector.spec.ts", "TypeScript", 0, 0, 85, 0, 0, 1, 22, 108
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\__tests__\TransferProgress.spec.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 27, 128
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\approval\ApprovalTimeline.vue", "vue", 109, 0, 0, 0, 0, 0, 19, 128
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\approval\approval-timeline.scss", "SCSS", 0, 33, 0, 0, 0, 0, 6, 39
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\detail\DetailFileTable.vue", "vue", 89, 0, 0, 0, 0, 0, 16, 105
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\detail\DetailInfoSection.vue", "vue", 25, 0, 0, 0, 0, 0, 5, 30
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\detail\detail-file-table.scss", "SCSS", 0, 47, 0, 0, 0, 0, 10, 57
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\detail\detail-info-section.scss", "SCSS", 0, 53, 0, 0, 0, 0, 9, 62
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\file-list.scss", "SCSS", 0, 36, 0, 0, 0, 0, 8, 44
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\file-upload.scss", "SCSS", 0, 152, 0, 0, 0, 0, 29, 181
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\trans-file-table.scss", "SCSS", 0, 297, 0, 0, 0, 9, 58, 364
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\AppHeader.vue", "vue", 94, 0, 0, 0, 0, 0, 17, 111
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\AppSidebar.vue", "vue", 83, 0, 0, 0, 0, 0, 15, 98
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\PageContainer.vue", "vue", 17, 0, 0, 0, 0, 0, 5, 22
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\RoleSwitcher.vue", "vue", 74, 0, 0, 0, 0, 0, 11, 85
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\ViewPlaceholder.vue", "vue", 30, 0, 0, 0, 0, 0, 5, 35
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\styles\app-header.scss", "SCSS", 0, 162, 0, 0, 0, 0, 25, 187
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\styles\app-sidebar.scss", "SCSS", 0, 68, 0, 0, 0, 0, 13, 81
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\styles\page-container.scss", "SCSS", 0, 35, 0, 0, 0, 0, 10, 45
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\styles\role-switcher.scss", "SCSS", 0, 68, 0, 0, 0, 0, 14, 82
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useApplicationList.spec.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 7, 66
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useApprovalDetail.spec.ts", "TypeScript", 0, 0, 246, 0, 0, 0, 52, 298
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useApprovalList.spec.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 22, 90
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useAuditLog.spec.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 30, 159
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useChannelManage.spec.ts", "TypeScript", 0, 0, 201, 0, 0, 0, 46, 247
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useDownloadList.spec.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 28, 171
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useNotificationList.spec.ts", "TypeScript", 0, 0, 153, 0, 0, 0, 24, 177
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useRegionManage.spec.ts", "TypeScript", 0, 0, 227, 0, 0, 2, 53, 282
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useSystemConfig.spec.ts", "TypeScript", 0, 0, 176, 0, 0, 0, 47, 223
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useTransferManage.spec.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 30, 218
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useTransferSimulator.spec.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 19, 70
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useUIConfig.spec.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 32, 217
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useUserManage.spec.ts", "TypeScript", 0, 0, 180, 0, 0, 0, 36, 216
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationConfig.ts", "TypeScript", 0, 0, 44, 0, 0, 1, 8, 53
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationDetail.ts", "TypeScript", 0, 0, 193, 0, 0, 1, 36, 230
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationForm.ts", "TypeScript", 0, 0, 511, 0, 0, 19, 102, 632
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationList.ts", "TypeScript", 0, 0, 169, 0, 0, 0, 38, 207
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApprovalDetail.ts", "TypeScript", 0, 0, 274, 0, 0, 0, 60, 334
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApprovalList.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 26, 169
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useAuditLog.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 26, 189
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useChannelManage.ts", "TypeScript", 0, 0, 201, 0, 0, 0, 26, 227
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useDownloadList.ts", "TypeScript", 0, 0, 243, 0, 0, 0, 50, 293
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useFileChunk.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 10, 43
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useLogin.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 18, 118
