"filename", "language", "vue", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\application.ts", "TypeScript", 0, 477, 0, 67, 28, 572
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\approval.ts", "TypeScript", 0, 75, 0, 14, 7, 96
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\auth.ts", "TypeScript", 0, 53, 0, 16, 4, 73
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\dept.ts", "TypeScript", 0, 59, 0, 17, 9, 85
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\transWebService.ts", "TypeScript", 0, 11, 0, 2, 1, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\api\uiConfig.ts", "TypeScript", 0, 31, 0, 12, 6, 49
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CitySelector.vue", "vue", -55, 0, 0, 0, -7, -62
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\CloseApplicationModal.vue", "vue", 122, 0, 0, 0, 21, 143
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\DepartmentSelector.scss", "SCSS", 0, 0, 31, 5, 4, 40
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\DepartmentSelector.vue", "vue", 256, 0, 0, 7, 32, 295
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\DepartmentSelectorModal.scss", "SCSS", 0, 0, 108, 6, 19, 133
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\ProcessTimeline.vue", "vue", 246, 0, 0, 1, 30, 277
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\UserSuggestSelect.vue", "vue", 76, 0, 0, 0, 12, 88
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\business\detail\DetailFileTable.vue", "vue", 12, 0, 0, 0, 1, 13
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\components\common\AppHeader.vue", "vue", 1, 0, 0, 0, 0, 1
